,Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,mileage,engine_size,horsepower,Seats,Price,Age
788,Renault Koleos 2.0 Diesel,2013,70000,Diesel,Automatic,Second,13.73,1995,148,5,8.5,10
789,Mahindra XUV500 W10 2WD,2016,56532,Diesel,Manual,First,16,2179,140,7,15.54,7
790,Maruti Omni E 8 Str STD,2013,26875,Petrol,Manual,First,16.8,796,34.2,8,2.35,10
791,Maruti Wagon R VXI,2015,72599,Petrol,Manual,First,22.5,998,67.04,5,4.32,8
792,Ford Endeavour XLT TDCi 4X2,2008,205000,Diesel,Manual,Second,13.1,2499,141,7,3.9,15
793,Hyundai Verna 1.6 SX,2011,98000,Diesel,Manual,Second,22.32,1582,126.32,5,5.2,12
794,Hyundai i20 Magna 1.2,2018,19500,Petrol,Manual,First,18.6,1197,81.83,5,5.85,5
795,Maruti Ertiga ZXI,2013,68000,Petrol,Manual,Second,16.02,1373,93.7,7,6.25,10
796,Mahindra XUV500 W9 AT,2019,19654,Diesel,Automatic,First,14,2179,155,7,17.63,4
797,Maruti SX4 S Cross DDiS 200 Zeta,2017,26000,Diesel,Manual,First,23.65,1248,88.5,5,9.75,6
798,Mercedes-Benz SLK-Class SLK 350,2015,10000,Petrol,Automatic,First,18.1,3498,306,2,55,8
799,Volkswagen Polo Diesel Comfortline 1.2L,2011,75020,Diesel,Manual,First,22.07,1199,73.9,5,4.1,12
800,Toyota Fortuner 4x4 MT,2011,157000,Diesel,Manual,First,12.55,2982,168.5,7,11.99,12
801,Mahindra XUV500 W10 2WD,2017,43773,Diesel,Manual,First,16,2179,140,7,13.54,6
802,Mercedes-Benz GLE 250d,2016,21000,Diesel,Automatic,First,17.9,2143,201.15,5,56,7
803,Honda Jazz 1.2 VX i VTEC,2016,23280,Petrol,Manual,First,18.7,1199,88.7,5,6.5,7
804,Maruti Swift Dzire VDI,2013,88000,Diesel,Manual,First,23.4,1248,74,5,4.75,10
805,Hyundai Verna 1.6 SX VTVT,2014,67000,Petrol,Manual,First,17.01,1591,121.3,5,5.6,9
806,Ford Endeavour 3.2 Titanium AT 4X4,2017,59636,Diesel,Automatic,First,10.91,3198,197,7,29.2,6
807,Hyundai i20 1.2 Asta Option,2018,11000,Petrol,Manual,First,18.6,1197,81.83,5,6.35,5
808,Honda City 1.5 V MT Sunroof,2013,60669,Petrol,Manual,First,16.8,1497,116.3,5,4.95,10
809,Honda Amaze VX Diesel,2018,12000,Diesel,Manual,First,27.4,1498,98.6,5,8.5,5
810,Hyundai Verna 1.6 SX VTVT (O),2013,35000,Petrol,Manual,First,17.1,1591,121.3,5,4.5,10
811,Honda Mobilio S i DTEC,2015,65000,Diesel,Manual,First,24.2,1498,98.6,7,5.5,8
812,Maruti Ertiga ZDI,2013,39929,Diesel,Manual,First,20.77,1248,88.8,7,6.56,10
813,Maruti Alto K10 LXI,2014,49000,Petrol,Manual,First,24.07,998,67.1,5,2.3,9
814,Toyota Qualis FS B2,2004,77757,Diesel,Manual,Second,13.1,2446,75,10,3.5,19
815,Hyundai i10 Sportz,2016,21456,Petrol,Manual,First,20.36,1197,78.9,5,4.55,7
816,Skoda Laura 1.9 TDI AT Ambiente,2009,74000,Diesel,Automatic,Second,17,1896,105,5,7.75,14
817,Hyundai i20 Asta Option 1.2,2015,37000,Petrol,Manual,Second,18.6,1197,81.83,5,5.25,8
818,BMW 5 Series 2003-2012 530d Highline,2013,108640,Diesel,Automatic,First,11.5,2993,235,5,23.29,10
819,BMW 3 Series 320d M Sport,2016,38000,Diesel,Automatic,First,22.69,1995,190,5,23.99,7
820,Chevrolet Aveo 1.4 LT ABS BSIV,2010,80000,Petrol,Manual,First,14.49,1399,92.7,5,1.79,13
821,Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,2011,47000,Diesel,Automatic,Second,14.21,2143,203,5,13.9,12
822,Audi A6 2011-2015 2.0 TDI Premium Plus,2013,31000,Diesel,Automatic,First,17.68,1968,174.33,5,18.95,10
823,Maruti Wagon R LXI BS IV,2014,40000,Petrol,Manual,First,20.51,998,67.04,5,2.49,9
824,Renault KWID RXT,2016,4152,Petrol,Manual,First,25.17,799,53.3,5,3.15,7
825,Volkswagen Ameo 1.5 TDI Highline,2017,51000,Diesel,Manual,First,21.66,1498,108.62,5,6.45,6
826,Volkswagen Polo Diesel Comfortline 1.2L,2013,55000,Diesel,Manual,First,22.07,1199,73.9,5,4.25,10
827,Maruti Alto 800 LXI,2014,58500,Petrol,Manual,First,22.74,796,47.3,5,2.75,9
828,Hyundai i20 Asta Option 1.2,2017,58620,Petrol,Manual,First,18.6,1197,81.83,5,7.14,6
829,Toyota Etios Liva G,2012,29605,Petrol,Manual,First,18.3,1197,null ,5,2.44,11
830,Hyundai i20 1.2 Sportz,2012,71172,Petrol,Manual,Third,17,1197,80,5,3.5,11
831,Hyundai i20 1.4 Asta,2017,12000,Diesel,Manual,First,22.54,1396,88.73,5,7.3,6
832,Maruti Wagon R LXI Optional,2014,25000,Petrol,Manual,First,20.51,998,67.04,5,2.75,9
833,Hyundai i20 1.4 Asta Option,2017,43000,Diesel,Manual,Second,22.54,1396,88.73,5,8.2,6
834,Volkswagen Polo GT TSI,2015,57022,Petrol,Automatic,First,17.21,1197,103.6,5,6.51,8
835,Ford Figo Diesel Titanium,2015,92000,Diesel,Manual,First,20,1399,68.05,5,4.25,8
836,Maruti Swift ZXI,2014,33372,Petrol,Manual,Second,18.6,1197,85.8,5,6.21,9
837,Hyundai Grand i10 CRDi Magna,2016,52625,Diesel,Manual,First,24,1120,70,5,4.58,7
838,Mahindra Xylo H4,2016,215000,Diesel,Manual,First,14.02,2179,118.3,7,7.5,7
839,Maruti Alto Green LXi (CNG),2012,65537,CNG,Manual,First,26.83,796,38.4,5,2.1,11
840,Hyundai i10 Magna 1.1,2014,60138,Petrol,Manual,First,19.81,1086,68.05,5,4.09,9
841,Skoda Octavia Elegance 2.0 TDI AT,2014,84000,Diesel,Automatic,First,19.3,1968,141,5,10.75,9
842,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,2014,47000,Diesel,Automatic,First,15.97,2993,258,7,41.5,9
843,Maruti Celerio VXI AT,2014,33450,Petrol,Automatic,First,23.1,998,67.04,5,4.4,9
844,Volkswagen Vento Diesel Comfortline,2013,125000,Diesel,Manual,Second,20.54,1598,103.6,5,6.25,10
845,BMW 3 Series 320d Highline,2011,99606,Diesel,Automatic,Second,16.07,1995,181,5,10.5,12
846,Maruti Ertiga ZDI,2014,64000,Diesel,Manual,First,20.77,1248,88.8,7,7.25,9
847,Ford Figo Diesel ZXI,2013,51000,Diesel,Manual,First,20,1399,68.05,5,3.2,10
848,Volkswagen Polo 1.2 MPI Highline,2014,57000,Petrol,Manual,First,16.47,1198,74,5,3.95,9
849,Audi A6 3.0 TDI quattro,2009,48040,Diesel,Automatic,Second,16.77,2967,241.38,5,12.07,14
850,Toyota Innova Crysta 2.4 ZX MT,2017,43200,Diesel,Manual,First,13.68,2393,147.8,7,18.6,6
851,Hyundai Verna 1.6 CRDi EX AT,2013,66000,Diesel,Automatic,First,22.32,1582,126.3,5,5.7,10
852,Hyundai Santro Xing GL Plus,2013,31000,Petrol,Manual,First,17.92,1086,62.1,5,1.75,10
853,Audi A4 2.0 TDI,2011,46000,Diesel,Automatic,Second,16.55,1968,147.51,5,10.99,12
854,Audi A4 2.0 TDI,2012,47346,Diesel,Automatic,First,16.55,1968,147.51,5,14.5,11
855,Skoda Laura 1.9 TDI MT Ambiente,2009,100000,Diesel,Manual,First,17,1896,105,5,3.11,14
856,Honda CR-V 2.0L 2WD AT,2015,63856,Petrol,Automatic,First,13.7,1997,153.86,5,13.96,8
857,Hyundai Verna 1.6 SX CRDi (O),2015,72996,Diesel,Manual,First,22.32,1582,126.32,5,7.11,8
858,Honda Mobilio RS i DTEC,2014,23000,Diesel,Manual,First,24.5,1498,98.6,7,6.9,9
859,Hyundai i20 1.2 Asta Option,2018,15985,Petrol,Manual,First,18.6,1197,81.83,5,7.77,5
860,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2011,98000,Diesel,Manual,Second,12.8,2494,102,8,5.5,12
861,Hyundai i20 Magna 1.2,2014,70089,Petrol,Manual,First,18.6,1197,81.83,5,5.35,9
862,Mahindra Bolero VLX BS IV,2011,99000,Diesel,Manual,Second,13.6,2523,63,7,4.5,12
863,Volkswagen Vento 1.5 TDI Comfortline,2014,72000,Diesel,Manual,First,20.34,1498,103.2,5,4.75,9
864,Jaguar XF 2.2 Litre Luxury,2015,44194,Diesel,Automatic,First,16.36,2179,187.7,5,32.8,8
865,Maruti Zen LXi - BS III,2005,102000,Petrol,Manual,First,17.3,993,60,5,0.7,18
866,Mercedes-Benz E-Class Facelift,2018,56652,Diesel,Automatic,First,13,2987,258,5,50.29,5
867,Toyota Fortuner 3.0 Diesel,2010,41650,Diesel,Manual,Second,11.5,2982,171,7,10.99,13
868,Hyundai Grand i10 AT Asta,2015,61717,Petrol,Automatic,First,18.9,1197,82,5,5.57,8
869,Hyundai Xcent 1.2 CRDi S,2018,25302,Diesel,Manual,First,25.4,1186,73.97,5,5.9,5
870,Hyundai Creta 1.6 VTVT S,2016,47016,Petrol,Manual,First,15.29,1591,121.3,5,9.43,7
871,Hyundai i10 Sportz,2010,69000,Petrol,Manual,First,20.36,1197,78.9,5,2.9,13
872,Honda Brio S MT,2016,32700,Petrol,Manual,First,19.4,1198,86.8,5,3.68,7
873,Toyota Fortuner 4x2 AT,2015,101337,Diesel,Automatic,First,12.55,2982,168.5,7,21.67,8
874,Audi A4 2.0 TDI Multitronic,2011,59000,Diesel,Automatic,First,16.55,1968,140,5,12.5,12
875,Toyota Innova Crysta 2.8 ZX AT,2018,41736,Diesel,Automatic,First,11.36,2755,171.5,7,19.92,5
876,Honda City i DTEC VX,2014,71649,Diesel,Manual,First,25.1,1498,98.6,5,6.75,9
877,Honda City i DTEC VX,2015,80606,Diesel,Manual,First,25.1,1498,98.6,5,6.96,8
878,Renault KWID 1.0 RXT Optional,2017,63262,Petrol,Manual,First,21.7,999,67,5,3.25,6
879,Maruti Swift DDiS ZDI Plus,2018,5456,Diesel,Manual,First,28.4,1248,74,5,8.65,5
880,Maruti Celerio VXI Optional AMT,2017,7500,Petrol,Automatic,First,23.1,998,67.04,5,5,6
881,Mahindra XUV500 W8 2WD,2011,66000,Diesel,Manual,First,15.1,2179,140,7,5.5,12
882,Hyundai i10 Magna,2010,66770,Petrol,Manual,Second,20.36,1197,78.9,5,2.6,13
883,Hyundai i10 Magna 1.1,2014,58472,Petrol,Manual,First,19.81,1086,68.05,5,3.41,9
884,Maruti Dzire VXI,2011,46687,Petrol,Manual,First,22,1197,81.8,5,2.7,12
885,Maruti Grand Vitara AT,2008,77000,Petrol,Automatic,Fourth & Above,9.7,1995,163.5,5,5.5,15
886,Audi TT 40 TFSI,2012,7000,Petrol,Automatic,First,14.33,1984,226.6,4,35,11
887,Mercedes-Benz New C-Class C 200 CGI,2011,48000,Petrol,Automatic,Second,14.74,1991,184,5,9.75,12
888,Nissan Sunny 2011-2014 Diesel XV,2013,47000,Diesel,Manual,First,21.64,1461,84.8,5,4.25,10
889,Maruti Wagon R LXI,2015,51530,Petrol,Manual,First,18.9,998,67.1,5,3.2,8
890,Maruti Swift Dzire ZDI,2014,25789,Diesel,Manual,Second,23.4,1248,74,5,6.85,9
891,Honda Amaze S i-Dtech,2015,48000,Diesel,Manual,First,25.8,1498,98.6,5,4.5,8
892,Maruti Swift ZDI,2012,52000,Diesel,Manual,First,28.4,1248,74,5,3.55,11
893,Hyundai Aent Executive CNG,2010,95637,CNG,Manual,Second,13.2,1495,93.7,5,1.9,13
894,Mahindra Scorpio LX 2.6 Turbo,2008,131000,Diesel,Manual,First,10.5,2609,120,7,3.6,15
895,Mercedes-Benz E-Class E250 CDI Avantgrade,2015,42076,Diesel,Automatic,First,13,2143,201.1,5,21.8,8
896,Toyota Fortuner 4x2 Manual,2012,76000,Diesel,Manual,Second,13,2982,168.5,7,13.5,11
897,Datsun redi-GO T Option,2016,20487,Petrol,Manual,First,22.7,799,53.64,5,2.66,7
898,Honda City V MT,2010,43000,Petrol,Manual,Second,16.8,1497,116.3,5,3.75,13
899,Toyota Camry Hybrid,2018,17000,Petrol,Automatic,First,19.16,2494,158.2,5,32,5
900,Honda City i DTec V,2016,60805,Diesel,Manual,First,26,1498,98.6,5,8.07,7
901,Volkswagen Jetta 2012-2014 2.0L TDI Trendline,2012,58775,Diesel,Manual,First,19.33,1968,138.1,5,5.64,11
902,Audi A6 2011-2015 2.0 TDI,2013,70181,Diesel,Automatic,First,17.68,1968,174.33,5,23.99,10
903,Maruti Ertiga VDI,2016,85827,Diesel,Manual,First,20.77,1248,88.76,7,7.5,7
904,Mercedes-Benz New C-Class C 220 CDI Style,2016,58205,Diesel,Automatic,First,19.27,2143,167.62,5,27,7
905,Maruti Swift Dzire Vdi BSIV,2008,91000,Diesel,Manual,Second,19.3,1248,73.9,5,2.85,15
906,Renault Duster 110PS Diesel RxZ Pack,2012,74000,Diesel,Manual,First,19.01,1461,108.45,5,6.35,11
907,Maruti Ritz VDi,2010,79324,Diesel,Manual,First,21.1,1248,73.9,5,3.3,13
908,Maruti Swift Dzire VXI,2013,38623,Petrol,Manual,First,19.1,1197,85.8,5,5,10
909,Maruti Swift ZDi,2014,59923,Diesel,Manual,First,22.9,1248,74,5,6.46,9
910,Hyundai EON Sportz,2017,23360,Petrol,Manual,First,21.1,814,55.2,5,3.75,6
911,Maruti Zen VXI BSII,2003,61495,Petrol,Manual,Third,17.3,993,60,5,1.52,20
912,Maruti Eeco 7 Seater Standard,2012,56661,Petrol,Manual,First,15.1,1196,73,7,3.61,11
913,Audi Q5 30 TDI quattro Premium,2017,40318,Diesel,Automatic,First,14.16,1968,174.3,5,43.74,6
914,Audi Q3 2.0 TDI,2014,60000,Diesel,Automatic,First,15.73,1968,174.33,5,20,9
915,Smart Fortwo CDI AT,2008,103000,Diesel,Automatic,Second,0,799,null ,2,3,15
916,Maruti Swift Dzire VDi,2010,130000,Diesel,Manual,First,19.3,1248,73.9,5,3.65,13
917,Tata Sumo DX,2013,20000,Diesel,Manual,First,14.07,1978,83.1,10,5.25,10
918,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,2016,76000,Diesel,Automatic,First,15.97,2993,258,7,58,7
919,Honda City i-VTEC CVT VX,2015,30000,Petrol,Automatic,First,18,1497,117.3,5,8.65,8
920,Tata Indigo eCS eLX BS IV,2015,150000,Diesel,Manual,First,25,1396,69.01,5,2.5,8
921,Volkswagen Vento TSI,2014,28000,Petrol,Automatic,First,16.93,1197,103.6,5,7.75,9
922,Maruti Celerio VXI,2015,74000,Petrol,Manual,First,23.1,998,67.04,5,4.15,8
923,Toyota Fortuner 3.0 Diesel,2011,75000,Diesel,Manual,First,11.5,2982,171,7,10.85,12
924,Mitsubishi Outlander 2.4,2010,76000,Petrol,Automatic,Second,11.3,2360,170,5,5.53,13
925,Volkswagen Jetta 2007-2011 1.9 Highline TDI,2014,64889,Diesel,Automatic,First,15.5,1896,105,5,11.5,9
926,Porsche Cayman 2009-2012 S,2010,10000,Petrol,Manual,First,9,3436,null ,2,40,13
927,Hyundai Creta 1.6 CRDi SX,2015,43000,Diesel,Manual,First,19.67,1582,126.2,5,9.25,8
928,Skoda Fabia 1.2 MPI Ambiente Petrol,2011,47490,Petrol,Manual,First,17.5,1198,75,5,2.29,12
929,Ford EcoSport 1.5 TDCi Titanium,2015,80000,Diesel,Manual,First,22.77,1498,98.59,5,7,8
930,Maruti Zen Estilo 1.1 LXI BSIII,2007,60000,Petrol,Manual,Second,18.2,1061,64,5,1.65,16
931,Maruti Ciaz 1.4 Delta,2017,6006,Petrol,Manual,First,20.73,1373,91.1,5,8.25,6
932,Mercedes-Benz New C-Class C 200 Avantgarde Edition C,2011,71703,Petrol,Automatic,First,14.74,1991,181.03,5,9.14,12
933,Honda Amaze SX i-VTEC,2016,33000,Petrol,Manual,First,17.8,1198,86.7,5,6.5,7
934,Toyota Etios GD,2012,60000,Diesel,Manual,First,23.59,1364,null ,5,2.95,11
935,Renault Duster 85PS Diesel RxL,2015,91000,Diesel,Manual,First,19.87,1461,83.8,5,5.75,8
936,Maruti Wagon R LXI LPG BSIV,2012,72000,LPG,Manual,First,26.2,998,58.2,5,2.85,11
937,Volkswagen Polo Petrol Highline 1.2L,2011,43000,Petrol,Manual,Second,16.47,1198,73.9,5,2.1,12
938,Hyundai Creta 1.6 SX Plus Diesel,2017,63770,Diesel,Manual,First,19.67,1582,126.2,5,13.55,6
939,Jaguar XF Diesel,2012,43510,Diesel,Automatic,First,14.74,2993,270.9,5,20.5,11
940,Jeep Compass 2.0 Limited 4X4,2017,52000,Diesel,Manual,First,16.3,1956,170,5,20,6
941,Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,2018,31427,Diesel,Automatic,First,15.68,1999,177,5,59.72,5
942,Maruti Baleno Alpha Diesel,2016,29000,Diesel,Manual,First,27.39,1248,74,5,6.5,7
943,Maruti Ciaz ZDi SHVS,2016,56000,Diesel,Manual,First,28.09,1248,88.5,5,7.5,7
944,Maruti SX4 Vxi BSIII,2007,76000,Petrol,Manual,Second,15,1586,104.68,5,2.15,16
945,Hyundai Elantra CRDi SX,2015,53615,Diesel,Manual,First,22.7,1582,126.24,5,8.44,8
946,Mitsubishi Pajero Sport 4X4,2013,132000,Diesel,Manual,First,13.5,2477,175.56,7,12.49,10
947,Volkswagen Ameo 1.2 MPI Comfortline,2017,14800,Petrol,Manual,First,17,1198,73.75,5,5.48,6
948,Maruti Ritz VXi,2013,35433,Petrol,Manual,First,18.5,1197,85.8,5,4.2,10
949,Hyundai Verna CRDi SX,2013,82966,Diesel,Manual,First,16.8,1493,110,5,7.2,10
950,Maruti Swift Dzire Tour LDI,2014,96000,Diesel,Manual,First,23.4,1248,74,5,4.8,9
951,Mahindra KUV 100 mFALCON D75 K6,2017,39528,Diesel,Manual,First,25.32,1198,77,6,5.83,6
952,Toyota Innova Crysta 2.4 ZX MT,2018,92056,Diesel,Manual,First,13.68,2393,147.8,7,18.39,5
953,Maruti Baleno Delta 1.2,2016,14930,Petrol,Manual,First,21.4,1197,83.1,5,5.85,7
954,Honda Jazz VX Diesel,2016,38000,Diesel,Manual,First,27.3,1498,98.6,5,6.21,7
955,Hyundai i20 1.2 Asta,2013,71000,Petrol,Manual,First,17,1197,80,5,3.65,10
956,Hyundai i20 Sportz Diesel,2012,71000,Diesel,Manual,First,23,1396,90,5,3.7,11
957,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2015,50000,Diesel,Automatic,First,19.27,2143,167.62,5,30,8
958,Hyundai Xcent 1.2 Kappa Base,2016,48163,Petrol,Manual,First,19.1,1197,82,5,4.85,7
959,Hyundai Grand i10 AT Asta,2017,19168,Petrol,Automatic,First,18.9,1197,82,5,6.93,6
960,Maruti Alto 800 VXI,2016,26000,Petrol,Manual,First,22.74,796,47.3,5,2.6,7
961,Chevrolet Sail Hatchback 1.2 LS,2014,37400,Petrol,Manual,First,18.2,1199,82.5,5,1.89,9
962,Mercedes-Benz C-Class Progressive C 220d,2018,8682,Diesel,Automatic,First,0,1950,194,5,39.5,5
963,Skoda Superb Elegance 1.8 TSI AT,2012,95000,Petrol,Automatic,First,13.7,1798,157.75,5,10,11
964,Audi A4 2.0 TDI,2009,34000,Diesel,Automatic,First,16.55,1968,147.51,5,9.95,14
965,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2014,95000,Diesel,Manual,Second,12.8,2494,102,8,9.45,9
966,Mercedes-Benz CLA 200 CDI Sport,2017,13689,Diesel,Automatic,First,17.9,2143,136,5,28.25,6
967,Hyundai i10 Era,2008,84000,Petrol,Manual,Second,19.81,1086,68.05,5,1.8,15
968,Maruti Swift Dzire VXi,2008,47000,Petrol,Manual,Second,17.5,1298,85.8,5,1.4,15
969,Skoda Rapid 1.5 TDI AT Ambition,2015,60001,Diesel,Automatic,First,21.66,1498,103.52,5,7.25,8
970,Maruti Ritz VDi,2012,96000,Diesel,Manual,First,21.1,1248,73.9,5,3.6,11
971,Hyundai Aent GLS 1.6,2004,47300,Petrol,Manual,Second,14.4,1599,94,5,1.2,19
972,Honda Amaze SX i-VTEC,2014,28246,Petrol,Manual,Second,17.8,1198,86.7,5,4.94,9
973,Maruti Wagon R LXI,2007,65000,Petrol,Manual,Second,18.9,998,67.1,5,1.25,16
974,Volkswagen Polo Diesel Comfortline 1.2L,2013,68000,Diesel,Manual,Second,22.07,1199,73.9,5,4.8,10
975,Ford Endeavour 2.2 Trend AT 4X2,2019,11209,Diesel,Automatic,First,12.62,2198,158,7,31.15,4
976,Hyundai i20 1.2 Sportz,2011,41980,Petrol,Manual,Second,17,1197,80,5,3.3,12
977,Chevrolet Beat Diesel PS,2012,65000,Diesel,Manual,First,25.44,936,57.6,5,2.4,11
978,Honda Civic 2010-2013 1.8 V MT,2010,38000,Petrol,Manual,First,14.8,1799,130.2,5,2,13
979,Maruti Wagon R VXI BS IV,2014,51000,Petrol,Manual,First,20.51,998,67.04,5,3.1,9
980,Skoda Rapid 1.6 MPI Ambition Plus,2014,33855,Petrol,Manual,First,15,1598,103.6,5,5.09,9
981,Maruti Baleno Vxi - BSIII,2006,146000,Petrol,Manual,Second,15.4,1590,94,5,1.05,17
982,Ford EcoSport 1.5 TDCi Titanium,2015,47037,Diesel,Manual,Second,22.77,1498,98.59,5,7,8
983,Hyundai Aent GLE,2010,58000,Petrol,Manual,Second,13.2,1495,94,5,2.5,13
984,BMW 5 Series 520d Luxury Line,2012,61240,Diesel,Automatic,First,22.48,1995,190,5,17.5,11
985,Maruti Alto K10 2010-2014 VXI,2011,91211,Petrol,Manual,First,20.92,998,67.1,5,2.1,12
986,Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus,2013,84000,Diesel,Automatic,First,15.73,1968,174.33,5,17.75,10
987,Maruti Wagon R LXI DUO BSIII,2008,64226,LPG,Manual,First,17.3,1061,57.5,5,1.45,15
988,Toyota Corolla H4,2005,67000,Petrol,Automatic,Second,11.3,1794,125,5,2.45,18
989,Volvo XC60 D5,2011,106976,Diesel,Automatic,First,13.5,2400,215,5,13.8,12
990,Honda Jazz 1.5 VX i DTEC,2016,27210,Diesel,Manual,First,27.3,1498,98.6,5,5.85,7
991,Maruti Ciaz 1.3 Alpha,2017,26322,Diesel,Manual,First,28.09,1248,88.5,5,8.9,6
992,Maruti Swift VXI BSIV,2016,9107,Petrol,Manual,First,20.4,1197,81.8,5,5.15,7
993,Mercedes-Benz New C-Class C 220 CDI Avantgarde,2015,63983,Diesel,Automatic,First,19.27,2143,170,5,16.56,8
994,Maruti Wagon R VXI Minor,2010,134000,Petrol,Manual,Second,18.9,1061,67,5,1.65,13
995,Mercedes-Benz A Class A180 Sport,2015,11000,Petrol,Automatic,First,15.5,1595,120.7,5,16,8
996,Hyundai Santro Xing GL,2008,93000,Petrol,Manual,First,0,1086,62,5,1.45,15
997,Maruti Swift Dzire AMT ZDI,2017,24852,Diesel,Automatic,First,26.59,1248,74,5,8.08,6
998,Hyundai Grand i10 AT Asta,2014,37632,Petrol,Automatic,First,18.9,1197,82,5,4.5,9
999,Nissan Sunny 2011-2014 XV Special Edition,2013,55000,Petrol,Manual,Second,16.95,1498,97.7,5,4.3,10
1000,Maruti A-Star Lxi,2010,81448,Petrol,Manual,First,19,998,66.1,5,2.6,13
1001,Renault KWID RXT Optional,2018,1900,Petrol,Manual,First,25.17,799,53.3,5,4.45,5
1002,Hyundai Verna 1.6 SX VTVT (O) AT,2012,54957,Petrol,Automatic,First,17.1,1591,121.4,5,5.37,11
1003,Maruti Wagon R LXI Minor,2008,55000,Petrol,Manual,Second,18.9,1061,67,5,1.75,15
1004,BMW 3 Series 320d Sport Line,2013,21983,Diesel,Automatic,First,18.88,1995,184,5,16.5,10
1005,BMW 5 Series 2003-2012 520d,2013,76000,Diesel,Automatic,First,18.48,1995,177,5,19,10
1006,Tata Indigo CS eVX,2016,65000,Diesel,Manual,First,25,1396,69.01,5,2.8,7
1007,Hyundai i20 Sportz 1.4 CRDi,2015,26000,Diesel,Manual,First,22.54,1396,88.73,5,6.2,8
1008,Maruti Omni E MPI STD BS IV,2019,11571,Petrol,Manual,First,16.8,796,34.2,8,3.8,4
1009,Maruti Swift ZDi,2014,81000,Diesel,Manual,First,25.2,1248,74,5,6.1,9
1010,Ford Ecosport Signature Edition Diesel,2019,23154,Diesel,Manual,First,23,1498,98.96,5,11.65,4
1011,Honda Brio VX AT,2014,26856,Petrol,Automatic,First,16.5,1198,86.8,5,4.15,9
1012,Toyota Innova Crysta 2.4 GX MT,2017,67489,Diesel,Manual,First,13.68,2393,147.8,7,16.5,6
1013,Mahindra Scorpio 2.6 LX,2008,176000,Diesel,Manual,Second,10.5,2179,120,8,4.3,15
1014,Hyundai i20 1.2 Magna,2010,18000,Petrol,Manual,First,18.5,1197,80,5,2.25,13
1015,Hyundai Verna 1.6 SX,2014,63003,Diesel,Manual,First,22.32,1582,126.32,5,6.75,9
1016,Mahindra XUV500 W6 2WD,2014,80000,Diesel,Manual,First,15.1,2179,140,7,9.4,9
1017,Volkswagen Vento 1.5 TDI Comfortline,2014,56658,Diesel,Manual,First,20.64,1498,108.5,5,5.39,9
1018,Maruti Swift Dzire VDI Optional,2019,18592,Diesel,Manual,First,26.59,1248,74,5,8.51,4
1019,Tata Manza Aura Safire BS IV,2010,75695,Petrol,Manual,First,13.7,1368,88.8,5,1.85,13
1020,Maruti Swift VDI,2012,82000,Diesel,Manual,Second,22.9,1248,74,5,2.5,11
1021,Volkswagen Polo Diesel Highline 1.2L,2013,60000,Diesel,Manual,First,22.07,1199,73.9,5,4.75,10
1022,Honda City 1.5 V MT,2009,138000,Petrol,Manual,Second,17,1497,118,5,3.5,14
1023,Hyundai i20 Asta (o) 1.4 CRDi (Diesel),2014,67000,Diesel,Manual,First,23,1396,90,5,5.5,9
1024,Honda City 1.5 V MT,2012,42750,Petrol,Manual,First,17,1497,118,5,6.33,11
1025,Chevrolet Beat Diesel,2014,52398,Diesel,Manual,First,25.44,936,57.6,5,2.47,9
1026,Chevrolet Spark 1.0 LS,2014,36657,Petrol,Manual,First,16.2,995,62.1,5,3.3,9
1027,Tata New Safari DICOR 2.2 EX 4x2,2011,77000,Diesel,Manual,Second,11.57,2179,138.1,7,3.5,12
1028,Mercedes-Benz GL-Class 350 CDI Blue Efficiency,2014,85000,Diesel,Automatic,First,11.3,2987,254.8,7,38.75,9
1029,BMW 5 Series 2003-2012 530d Highline,2008,112500,Diesel,Automatic,First,11.5,2993,235,5,7.99,15
1030,Toyota Fortuner 2.8 4WD MT,2013,105072,Diesel,Manual,First,14.24,2755,174.5,7,13.28,10
1031,BMW X1 sDrive 18i,2012,80000,Petrol,Automatic,First,11.25,1995,150,5,9.5,11
1032,Renault Captur 1.5 Diesel Platine Mono,2019,3102,Diesel,Manual,First,20.37,1461,108.45,5,14.01,4
1033,Hyundai Xcent 1.1 CRDi S,2016,14656,Diesel,Manual,First,24.4,1120,71,5,6.99,7
1034,BMW 3 Series 320d,2010,105000,Diesel,Automatic,Second,13.2,1995,170,5,11,13
1035,BMW 5 Series 2010-2013 525i,2008,61000,Petrol,Automatic,Second,10.8,2497,215,5,11,15
1036,Nissan Micra XE,2010,85046,Petrol,Manual,Second,18.06,1198,75,5,2.3,13
1037,Jaguar XF 2.2 Litre Luxury,2014,48000,Diesel,Automatic,First,16.36,2179,187.7,5,26.5,9
1038,Land Rover Range Rover TDV8 (Diesel),2011,55000,Diesel,Automatic,First,10.2,4367,308,7,67,12
